spec,year,interaction,coef,se,pvalue,n_obs,converged,time_s
F2: FATF + FDI,2019,fatf_grey:pci_std,-0.2345959090660656,0.02857286468638343,2.220446049250313e-16,3191770.0,True,64.40358066558838
F2: FATF + FDI,2019,derisked:pci_std,-0.18827857252464716,0.036125864748999634,1.8707878557400193e-07,3191770.0,True,64.40358066558838
H1: Triple,2019,eu_post2017:pci_std,0.10560864312546278,0.026046867348335976,5.022828999745599e-05,3191770.0,True,57.277199268341064
H1: Triple,2019,fatf_grey:pci_std,-0.20907279388914737,0.03105587274381996,1.6717516260200682e-11,3191770.0,True,57.277199268341064
H1: Triple,2019,derisked:pci_std,-0.19765643466584001,0.0356028231371335,2.8289381948098935e-08,3191770.0,True,57.277199268341064
H2: Kitchen sink,2019,eu_post2017:pci_std,0.14563079990888397,0.029018220021069605,5.204976247785709e-07,2518072.0,True,57.2267062664032
H2: Kitchen sink,2019,fatf_grey:pci_std,-0.1689197481342141,0.03499046544028917,1.3819272051129872e-06,2518072.0,True,57.2267062664032
H2: Kitchen sink,2019,derisked:pci_std,-0.17608644481082253,0.03855072067207102,4.932077201535989e-06,2518072.0,True,57.2267062664032
H2: Kitchen sink,2019,diplo_disagreement:pci_std,0.06436652119063589,0.018363526757800168,0.00045638692906302403,2518072.0,True,57.2267062664032
H3: AMLD + confounders,2019,eu_post2017:pci_std,0.14777912109223332,0.028813436621452068,2.9155368497235656e-07,2518072.0,True,51.41947793960571
H3: AMLD + confounders,2019,diplo_disagreement:pci_std,0.0634812317419604,0.018624370741069148,0.0006532026157206605,2518072.0,True,51.41947793960571
B0: Baseline,2020,derisked:pci_std,-0.3325405668434762,0.047937235866041955,4.005240583637715e-12,3191770.0,True,45.26578235626221
E1: AMLD (primary),2020,eu_post2017:pci_std,0.1369899261959008,0.023734792846152465,7.847922756099024e-09,3191770.0,True,54.66102337837219
E2: AMLD + FDI,2020,eu_post2017:pci_std,0.13649798473786948,0.02359813961698826,7.282837222177818e-09,3191770.0,True,51.81577515602112
E2: AMLD + FDI,2020,derisked:pci_std,-0.33095253786520007,0.04805493396477285,5.699662963820629e-12,3191770.0,True,51.81577515602112
